"HRUGIS";"HRU";"HRU_AREA";"linE_AREA";"LULC_SQ";"margin_SQ";"LULC_int";"margin_int";"LULC_ext";"margin_ext";"margintotal_SQ";"margintotal_int";"margintotal_ext"
80049;683;107092;0.405625;"M105";310.707480228451;"PAST";443.111212;"PASE";112.555052571429;3330.58999587385;4749.8752481325;1206.51981665786
80053;687;107728;0.154375;"M107";312.520402924318;"PAST";447.974812;"PASE";109.824709142857;3369.94656978329;4830.5683946475;1184.25356677607
90034;729;128981;0;"M111";251.315922862437;"PAST";328.191181714286;"PASE";50.8385051428572;3188.57077131717;4163.925618;645.013534000001
90035;730;899158;0.32955;"M110";617.206965173323;"PAST";449.709275428571;"PASE";113.070197142857;55229.5000042562;40241.3126077111;10117.8547974244
90036;731;620986;0.39045;"M102";349.390498635501;"PAST";444.524854285714;"PASE";123.232474285714;21722.3235506913;27637.0214668941;7661.61555291513
90037;732;139050;0.06615;"M101";418.795766269732;"PAST";441.917589714286;"PASE";105.320089142857;5809.26265244565;6129.99355808326;1460.93181853177
90038;733;58292;0.167485;"M110";516.669106843945;"PAST";299.594978285714;"PASE";31.5253811428572;2981.18849652617;1728.66751863324;181.901922075003
90040;735;722536;0.420945;"M109";327.686230867347;"PAST";446.416474857143;"PASE";110.318348;23537.3922997134;32065.6735254198;7924.06268600114
90042;737;111184;0.0597;"M103";210.811655975047;"PAST";434.922387428572;"PASE";104.505739428571;2345.86994535913;4839.72934282766;1162.91896721325
90043;738;473539;3.1812;"M105";333.637745701143;"PAST";443.576948571429;"PASE";110.157882285714;15664.8827446208;20826.7229266449;5172.10756767062
90045;740;864074;0.83072;"M111";311.358033612774;"PAST";449.352170285714;"PASE";113.846718857143;26595.979053419;38383.3388522431;9724.70475513958
90053;748;52709;0.08624;"PAST";448.036351428571;"PAST";448.036351428571;"PASE";111.880986285714;2313.5521900528;2313.5521900528;577.726561742719
90055;750;434799;1.23585;"PAST";444.836190857143;"PAST";444.836190857143;"PASE";106.777073714286;18661.6121861721;18661.6121861721;4479.47442448593
90057;752;179849;0.1617;"PAST";447.183953142857;"PAST";447.183953142857;"PASE";109.979991428571;8144.6954937768;8144.6954937768;2003.09857788599
90058;753;90180;0.209625;"PAST";339.362793714286;"PAST";339.362793714286;"PASE";57.5838;3152.80761465336;3152.80761465336;534.975095925
90059;754;89723;0;"PAST";443.661317142857;"PAST";443.661317142857;"PASE";108.547931428571;3937.49418964286;3937.49418964286;963.362891428568
90060;755;314163;0.232;"PAST";442.500118857143;"PAST";442.500118857143;"PASE";110.243133142857;13863.7499738537;13863.7499738537;3453.97248293228
